customerName,productLine
"Land of Toys Inc.",Motorcycles
"Reims Collectables",Motorcycles
"Lyon Souveniers",Motorcycles
Toys4GrownUps.com,Motorcycles
"Corporate Gift Ideas Co.",Motorcycles
"Technics Stores Inc.",Motorcycles
"Daedalus Designs Imports",Motorcycles
"Herkku Gifts",Motorcycles
"Mini Wheels Co.",Motorcycles
"Auto Canal+ Petit",Motorcycles
"Australian Collectors, Co.",Motorcycles
"Vitachrome Inc.",Motorcycles
"Tekni Collectables Inc.",Motorcycles
"Gift Depot Inc.",Motorcycles
"La Rochelle Gifts",Motorcycles
"Marta's Replicas Co.",Motorcycles
"Toys of Finland, Co.",Motorcycles
"Baane Mini Imports",Motorcycles
"Diecast Classics Inc.",Motorcycles
"Salzburg Collectables",Motorcycles
"Down Under Souveniers, Inc",Motorcycles
"Souveniers And Things Co.",Motorcycles
FunGiftIdeas.com,Motorcycles
"Kelly's Gift Shop",Motorcycles
"UK Collectables, Ltd.",Motorcycles
"Euro+ Shopping Channel",Motorcycles
"Osaka Souveniers Co.",Motorcycles
"Motor Mint Distributors Inc.",Motorcycles
"Atelier graphique",Motorcycles
"Mini Classics",Motorcycles
"Tokyo Collectables, Ltd",Motorcycles
"Australian Gift Network, Co",Motorcycles
"Anna's Decorations, Ltd",Motorcycles
"Online Mini Collectables",Motorcycles
"Microscale Inc.",Motorcycles
"Scandinavian Gift Ideas",Motorcycles
"Cruz & Sons Co.",Motorcycles
"Marseille Mini Autos",Motorcycles
"Mini Gifts Distributors Ltd.",Motorcycles
"Gift Ideas Corp.",Motorcycles
"Toms Spezialitäten, Ltd",Motorcycles
GiftsForHim.com,Motorcycles
Gifts4AllAges.com,Motorcycles
"La Corne D'abondance, Co.",Motorcycles
"Suominen Souveniers",Motorcycles
"Extreme Desk Decorations, Ltd",Motorcycles
"The Sharp Gifts Warehouse",Motorcycles
"Clover Collections, Co.",Motorcycles
"Enaco Distributors",Motorcycles
"L'ordine Souveniers",Motorcycles
"Frau da Collezione",Motorcycles
"King Kong Collectables, Co.",Motorcycles
"Royal Canadian Collectables, Ltd.",Motorcycles
"Dragon Souveniers, Ltd.",Motorcycles
"Mini Creations Ltd.",Motorcycles
